127.0.0.1 - - [02/Dec/2024:16:28:28 +0900] "GET / HTTP/1.1" 404 807
0:0:0:0:0:0:0:1 - - [02/Dec/2024:16:28:28 +0900] "GET /lab01_html/index.html HTTP/1.1" 200 148
0:0:0:0:0:0:0:1 - - [02/Dec/2024:16:28:28 +0900] "GET /favicon.ico HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [02/Dec/2024:16:31:34 +0900] "GET /lab01_html/index.html HTTP/1.1" 200 175
0:0:0:0:0:0:0:1 - - [02/Dec/2024:16:31:54 +0900] "GET /lab01_html/index.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [02/Dec/2024:16:31:55 +0900] "GET /lab01_html/index.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [02/Dec/2024:16:31:56 +0900] "GET /lab01_html/index.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [02/Dec/2024:16:31:57 +0900] "GET /lab01_html/index.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [02/Dec/2024:16:32:03 +0900] "GET /lab01_html/index.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [02/Dec/2024:16:32:03 +0900] "GET /lab01_html/index.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [02/Dec/2024:16:32:04 +0900] "GET /lab01_html/index.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [02/Dec/2024:16:32:04 +0900] "GET /lab01_html/index.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [02/Dec/2024:16:32:11 +0900] "GET /lab01_html/index.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [02/Dec/2024:16:32:15 +0900] "GET /lab01_html/index.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [02/Dec/2024:16:32:17 +0900] "GET /lab01_html/index.html HTTP/1.1" 200 197
0:0:0:0:0:0:0:1 - - [02/Dec/2024:16:32:17 +0900] "GET /lab01_html/index.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [02/Dec/2024:16:33:34 +0900] "GET /lab01_html/index.html HTTP/1.1" 200 198
0:0:0:0:0:0:0:1 - - [02/Dec/2024:16:40:43 +0900] "GET /lab01_html/index.html HTTP/1.1" 200 215
0:0:0:0:0:0:0:1 - - [02/Dec/2024:16:40:43 +0900] "GET /lab01_html/index.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [02/Dec/2024:16:40:44 +0900] "GET /lab01_html/index.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [02/Dec/2024:16:41:23 +0900] "GET /lab_01html/index.html HTTP/1.1" 404 832
192.168.14.18 - - [02/Dec/2024:16:43:37 +0900] "GET /lab01_html/index.html HTTP/1.1" 200 245
192.168.14.18 - - [02/Dec/2024:16:43:37 +0900] "GET /favicon.ico HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [02/Dec/2024:16:47:42 +0900] "GET /lab01_html/index.html HTTP/1.1" 200 245
0:0:0:0:0:0:0:1 - - [02/Dec/2024:17:02:51 +0900] "GET /lab01_html/index.html HTTP/1.1" 200 355
0:0:0:0:0:0:0:1 - - [02/Dec/2024:17:02:52 +0900] "GET /lab01_html/index.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [02/Dec/2024:17:02:52 +0900] "GET /lab01_html/index.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [02/Dec/2024:17:02:53 +0900] "GET /lab01_html/index.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [02/Dec/2024:17:02:58 +0900] "GET /lab01_html/index.html HTTP/1.1" 200 1106
0:0:0:0:0:0:0:1 - - [02/Dec/2024:17:03:05 +0900] "GET /lab01_html/index.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [02/Dec/2024:17:03:06 +0900] "GET /lab01_html/index.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [02/Dec/2024:17:30:16 +0900] "GET /lab01_html/index.html HTTP/1.1" 200 1736
192.168.14.27 - - [02/Dec/2024:17:54:03 +0900] "GET /lab01_html/index.html HTTP/1.1" 200 1736
192.168.14.27 - - [02/Dec/2024:17:54:03 +0900] "GET /favicon.ico HTTP/1.1" 404 818
